Subject,Kl24,Kl12,Kl6,Kp80,Kp40,Kp20,Kp10,Prand,Km
1,367,13.84,2.4,0.40,1.22,5.11,32.54,0.002,29.04
2,16.05,1.73,1.09,1.21,2.44,15.45,1297.80,0.01,24.24
3,424.99,13.68,2.5,0.69,2.18,8.5,107.24,0.01,30.38
4,35.85,5.13,1.52,0.64,1.36,13.27,1222,0.02,14.34
5,131270,47837,1.33,0.06,0.05,0.14,0.09,0.1,4.58
6,4486.2,3.10,1.2,0.01,0.81,4.37,9.09,0.002,10.89
7,183.84,9.07,1.93,0.43,0.86,14.08,53.8,0.02,19.26
8,2139.6,3.14,1.15,0.61,1.56,3.17,7.97,0.19,6.4
9,66.67,6.42,1.59,0.56,0.44,6.32,12.74,0.01,12.06
10,261.56,1.23,0.67,0.02,0.87,6.86,7.98,0.003,9.42
11,133.39,3.68,1.26,0.001,0.42,3.81,24.16,0.004,17.45
12,7.39,1.76,0.93,0.23,1.01,3.79,267.17,0.003,12.6
